Username,Posts,Followers,Following,Name,Category,Bio,Link
intaglobal,1946,6851,262,INTA,Nonprofit organization,The association of professionals,https://inta.campsite.bio
_anujsinghal,1785,681000,248,Anuj Singhal,Digital Creator,Business anchor,https://hindi.cnbctv18.com
user_003,1969,98341,830,User 3,Gaming,Startup enthusiast,https://example.com/user_003
user_004,298,335482,2144,User 4,Fitness,Sharing daily content,https://example.com/user_004
user_005,1969,230363,704,User 5,Community,Sharing daily content,https://example.com/user_005
user_006,1992,175926,1706,User 6,Travel,Helping students,https://example.com/user_006
user_007,3202,306419,318,User 7,Entrepreneur,Helping students,https://example.com/user_007
user_008,2790,71496,2098,User 8,Travel,Helping students,https://example.com/user_008
user_009,199,49801,758,User 9,Tech,Sharing daily content,https://example.com/user_009
user_010,3269,820492,1874,User 10,Entrepreneur,Sharing daily content,https://example.com/user_010
user_011,2314,212745,1858,User 11,Artist,Travel stories,https://example.com/user_011
user_012,314,414490,1536,User 12,Community,Travel stories,https://example.com/user_012
user_013,2285,40096,502,User 13,Community,Python | AI | Life,https://example.com/user_013
user_014,1134,850482,1980,User 14,Community,Helping students,https://example.com/user_014
user_015,1520,567960,1811,User 15,Food,Food explorer,https://example.com/user_015
user_016,256,88731,1404,User 16,Blogger,Food explorer,https://example.com/user_016
user_017,2879,712258,611,User 17,Food,Coffee lover,https://example.com/user_017
user_018,172,236465,2906,User 18,Artist,Food explorer,https://example.com/user_018
user_019,2522,529433,1431,User 19,Food,Building in public,https://example.com/user_019
user_020,2734,631473,2077,User 20,Tech,Travel stories,https://example.com/user_020
user_021,2348,196459,1764,User 21,Blogger,Coffee lover,https://example.com/user_021
user_022,1970,732661,1872,User 22,Gaming,Travel stories,https://example.com/user_022
user_023,290,56904,343,User 23,Entrepreneur,Learning every day,https://example.com/user_023
user_024,2264,831296,1362,User 24,Blogger,Travel stories,https://example.com/user_024
user_025,1962,444658,813,User 25,Food,Startup enthusiast,https://example.com/user_025
user_026,1902,5617,2097,User 26,Finance,Travel stories,https://example.com/user_026
user_027,1986,548275,608,User 27,Media,Building in public,https://example.com/user_027
user_028,2736,763385,2177,User 28,Digital Creator,Learning every day,https://example.com/user_028
user_029,1012,483074,650,User 29,Entrepreneur,Python | AI | Life,https://example.com/user_029
user_030,1185,459077,770,User 30,Fitness,Coffee lover,https://example.com/user_030
user_031,1473,379971,2472,User 31,Media,Coffee lover,https://example.com/user_031
user_032,1431,416494,731,User 32,Finance,Travel stories,https://example.com/user_032
user_033,1505,876148,1732,User 33,Community,Creative mind,https://example.com/user_033
user_034,341,255283,2703,User 34,Artist,Travel stories,https://example.com/user_034
user_035,3255,7954,2576,User 35,Food,Food explorer,https://example.com/user_035
user_036,3326,306919,2059,User 36,Education,Startup enthusiast,https://example.com/user_036
user_037,2402,490915,520,User 37,Travel,Sharing daily content,https://example.com/user_037
user_038,1090,898788,1038,User 38,Community,Travel stories,https://example.com/user_038
user_039,2219,882492,1645,User 39,Community,Python | AI | Life,https://example.com/user_039
user_040,99,258743,1150,User 40,Community,Coffee lover,https://example.com/user_040
user_041,1631,194393,2251,User 41,Education,Learning every day,https://example.com/user_041
user_042,2304,756743,800,User 42,Artist,Learning every day,https://example.com/user_042
user_043,2573,672651,889,User 43,Media,Coffee lover,https://example.com/user_043
user_044,2711,789806,1568,User 44,Digital Creator,Python | AI | Life,https://example.com/user_044
user_045,2891,131541,25,User 45,Fitness,Helping students,https://example.com/user_045
user_046,1593,882461,1182,User 46,Finance,Travel stories,https://example.com/user_046
user_047,1452,860649,654,User 47,Food,Helping students,https://example.com/user_047
user_048,2249,767567,2569,User 48,Food,Startup enthusiast,https://example.com/user_048
user_049,3256,395099,488,User 49,Entrepreneur,Building in public,https://example.com/user_049
user_050,2931,750399,838,User 50,Artist,Building in public,https://example.com/user_050
user_051,3085,273655,1108,User 51,Fitness,Python | AI | Life,https://example.com/user_051
user_052,2441,176710,900,User 52,Gaming,Python | AI | Life,https://example.com/user_052
user_053,982,432899,36,User 53,Food,Helping students,https://example.com/user_053
user_054,1364,887369,2025,User 54,Community,Building in public,https://example.com/user_054
user_055,1505,682343,1410,User 55,Entrepreneur,Learning every day,https://example.com/user_055
user_056,3316,217424,2737,User 56,Community,Travel stories,https://example.com/user_056
user_057,3252,139511,101,User 57,Finance,Creative mind,https://example.com/user_057
user_058,444,23843,1873,User 58,Education,Coffee lover,https://example.com/user_058
